Title,Suburb,Bedrooms,Bathrooms,LandArea,FloorArea,PriceDisplay,PropertyType
Buy Right in Royal Oak,Royal Oak,2,1,,,"Auction on 18 Jun, 10:00?€?am",Unit
"Flat Site, Multi-Unit Potential",New Windsor,,,706,,"For sale by tender,  19 Jun",Section
Perfect Starter Family Home,Ellerslie,3,2,,,"Auction on 18 Jun, 10:00?€?am",House
Rare Holding in the DGZ,Remuera,3,2,802,,"Auction on 25 Jun, 10:00?€?am",House
5LYEH5DCQ6BI5XHTUKYG,Remuera,4,2,,,"Asking price $1,985,000",House
VG62LLT2ZVX29EQEOWXD,Northcote,1,1,,,"Asking price $499,000",Apartment
KJUZ30L0ORMYM6P6O0XW,City Centre,2,1,,,Price by negotiation,Apartment
E1FWFX5XTP64HERDGGJG,City Centre,2,1,,,"Asking price $629,000",Apartment
SCJH3JC8ZQ2N3HJ5WC6F,Onewhero,,,2700,,Price by negotiation,Bare land
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 29 May, 5:06?€?am",Apartment
FOR A LIMITED TIME ONLY,Ellerslie,2,2,,,"Asking price $885,000",Townhouse
Best Buy in The Pacifica,City Centre,2,2,,,"Asking price $1,450,000",Apartment
Home Sweet Home!!,Pokeno,4,2,528,,"Auction on 25 Jun, 9:50?€?am",House
QS8EK7QF2M3UDHJRFM8I,Ramarama,4,2,8500,,"Asking price $1,899,000",Dwelling
9AEM3EDUG95HY7IDE6YC,Royal Oak,5,3,476,,"Asking price $2,890,000",House
DVAN5YR9K0I34PURDU51,Glen Eden,1,1,,,"Asking price $265,000",Apartment
244NRDSG8SZ32LFG48IJ,Hunua,,,5200,,"Asking price $725,000",Bare land
O7I08YPJYEHBIYGSVVSG,Pukekohe,6,3,883,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 28 May, 5:10?€?am",Apartment
Desirable University Precinct,City Centre,1,2,,,"Asking price $349,000",Apartment
ELEVATED MODERN LUXURY RETREAT,Pukekawa,3,2,10000,,Price by negotiation,Dwelling
"Big, Bold & Beautiful in The Valley",Pukekohe,4,2,568,,"Auction on 24 Jun, 5:03?€?am",House
X6TDTVVJ9D98H3DXJJX4,Henderson,2,1,,,"Auction on 11 Jun, 2:00?€?pm",House
2A0F4T1K5Z19MC02FH27,City Centre,2,1,,,Deadline sale by 28 May,Apartment
AF3802VA463CTQVBXGCB,City Centre,1,1,,,"Asking price $889,000",Apartment
GQLSNIVYMVT3YKEPCSPN,City Centre,1,1,,,"Asking price $299,000",Apartment
6TUXYYWLEOOC14ECASIW,Paerata,3,2,41000,,Price by negotiation,Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 27 May, 5:33?€?am",House
WEA7PKCEEGSGEBMWP2DE,Glenbrook,4,3,623,,Price by negotiation,House
Your Dream Home Starts Here ?€? Build Beside the...,Bombay,,,30400,,"Auction on 29 May, 2:00?€?pm",Bare land
City Convenience - Ideal to Live in or Invest,City Centre,2,1,,,"Asking price $465,000",Apartment
Character & Class in DGZ Remuera,Remuera,3,2,549,,"Auction on 23 Jun, 5:21?€?am",House
2U6MPQ36A2EHJ5W2VK0H,Pukekohe,3,1,,,"Asking price $785,000",Townhouse
JIYAEUWDFU58ERJDV91B,One Tree Hill,2,1,,,Price by negotiation,Unit
IE3UWT4RWPVEXIEXGDGB,Mount Wellington,2,1,,,"Auction on 18 Jun, 2:00?€?pm",Apartment
2KKWHSD23CBSE4J4GSVX,Remuera,3,2,,,"Asking price $1,395,000",Townhouse
I1YQZ5IQUAVGDA7K3J1X,City Centre,1,1,,,"Asking price $899,000",Apartment
Time to start your dream home,Pokeno,2,3,1000,,"Auction on 26 May, 5:07?€?am",Dwelling
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 26 May, 5:07?€?am",Bare land
1H5ONXWOIACBPAD0UT23,Pakuranga,3,1,675,,Price by negotiation,House
SEAVIEWS-100sqm MASSIVE DECK,City Centre,2,2,,,Price by negotiation,Apartment
Live in or Rent It Out!,City Centre,1,1,,,"Asking price $259,000",Apartment
Vendors Relocating ?€? Must Sell | Disregard All...,Pukekohe,3,2,702,,"Auction on 22 Jun, 9:58?€?am",House
MORTGAGEE SALE,Mount Wellington,2,1,,,"Auction on 18 Jun, 2:00?€?pm",Apartment
Sea Views & Sun ?€? Your City Retreat,Remuera,3,2,,,"Auction on 11 Jun, 10:00?€?am",Apartment
8O5XQIWCLOSGGHAP8DBQ,Ellerslie,2,2,,,"Asking price $895,000",Townhouse
JKPVJUT2FS9ZSVO9WTEU,Ellerslie,1,1,,,"Auction on 28 May, 2:00?€?pm",Apartment
VKI2DVOLAL0GNGST7HQR,Pukekawa,2,2,68200,,"Auction on 21 May, 2:00?€?pm",Dwelling
XLPE1DX7VVCK2E5U2W78,City Centre,2,1,,,"Asking price $495,000",Apartment
CSQ86GF3RK314GHZ3TPI,Pukekohe,3,1,,,"Asking price $699,000",House
ABIU7INT9XYVVDCJ9EZT,Pukekohe,5,3,675,,Price by negotiation,House
Elevate Your Lifestyle at 102/3 Tiakina Road,Northcote,2,1,,,"Asking price $699,000",Apartment
Better than the others!,City Centre,2,1,,,Price by negotiation,Apartment
Lifestyle Property with Income Potential,Glenbrook,5,4,41900,,"Auction on 21 Jun, 11:00?€?pm",Dwelling
TEG39CTZHRW0ZJIP2B9Z,City Centre,1,1,,,"Asking price $899,000",Apartment
UGXBOFQ61GZJANCXNB29,Bombay,,,150700,,Price by negotiation,Bare land
ZZAHQUFPVKJNIBVQ82W6,City Centre,1,1,,,"Asking price $809,000",Apartment
D4LUFU531IVQ96AAW5N0,Awhitu,,,4170,,Price by negotiation,Section
X1NYMF26ZLQ73WXXG4L4,Otara,3,1,794,,"Asking price $800,000",House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 25 May, 12:30?€?pm",House
Replace Double Grammar Gem,Epsom,1,1,,,"Asking price $589,000",Apartment
PRIME 3-ACRE BARE LAND WITH 2 TITLES,Mauku,,,5100,,"Asking price $665,000",Bare land
Vendors Relocating ?€? Must Sell | Disregard All...,Pukekohe,3,2,702,,"Auction on 21 Jun, 12:21?€?pm",House
"DGZ Living: A Home to Grow, A Future to Believe In",Greenlane,4,3,106,,"Asking price $1,550,000",Townhouse
4 Brand New Standalone Residences,Silverdale,4,2,,,Price by negotiation,House
XUVI9GRMVB7J09R7KIIO,Pukekohe,3,2,1517,,"Asking price $1,495,000",House
NZEHGJFBF76UKR7CTNDU,Karaka,,,8600,,Price by negotiation,Bare land
RKWRAECZX6TRZNL0EGJJ,Greenlane,3,3,,,Price by negotiation,Townhouse
A07H3KAHGXNOG74P3DHR,Karaka,5,4,555,,Price by negotiation,House
J4MXOP1AWQBTLRW4EPV2,Hillcrest,4,2,,,"Auction on 29 May, 10:00?€?am",House
Time to start your dream home,Pokeno,,,1000,,"Auction on 24 May, 5:11?€?am",Bare land
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 24 May, 5:10?€?am",Section
Huge home room for everyone!2 Kitchens/Granny flat,Pukekohe,6,4,652,,Price by negotiation,House
RENOVATED NORTH FACING PICTURESQUE SERENITY,Ramarama,4,2,6200,,"Auction on 12 Jun, 2:00?€?pm",Dwelling
Home Sweet Home!!,Pokeno,4,2,528,,"Auction on 20 Jun, 9:56?€?am",House
MORTGAGEE SALE,Pukekohe,3,1,1070,,"Auction on 18 Jun, 2:00?€?pm",House
OF0AD9AYOMR5M2W8EJW8,Drury,6,4,116500,,Price by negotiation,Dwelling
DYR3GPW1F24XXEYR567R,City Centre,2,1,,,"Asking price $629,000",Apartment
LWVIFX65QW68TW3S7K40,Remuera,3,2,,,Price by negotiation,Apartment
GIPPA13E6T69AS3VK4NI,Pukekohe,6,4,652,,Price by negotiation,House
OVKTCC04Y6P1BRKERX6X,Pukekohe,5,3,1270,,Price by negotiation,House
Time to start your dream home,Pokeno,2,3,1000,,"Auction on 23 May, 5:06?€?am",Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 23 May, 5:05?€?am",Unit
AG059TKADPJAMH68DO5Z,Pokeno,4,2,528,,"Auction on 12 Jun, 2:00?€?pm",House
Your Coastal Project Awaits!,Awhitu,2,1,1012,,Price by negotiation,House
Vendors Relocating ?€? Must Sell | Disregard All...,Pukekohe,3,2,702,,"Auction on 5 Jun, 2:00?€?pm",House
Experience The Pacifica: Where Dreams Meet Reality,City Centre,2,2,,,"Asking price $1,749,000",Apartment
ELEGANT EXPANSIVE RESORT ESTATE ?€? GARDEN GRANDEUR,Karaka,3,3,10000,,"Auction on 19 Jun, 9:53?€?am",Dwelling
Character & Class in DGZ Remuera,Remuera,3,2,549,,"Auction on 11 Jun, 10:00?€?am",House
DGZ Elegance in Epsom,Epsom,3,1,395,,"Auction on 11 Jun, 10:00?€?am",House
MT EDEN CHIC,Mount Eden,2,1,,,"For sale by tender,  11 Jun",Apartment
Where City Living Meets Coastal Serenity!,City Centre,1,1,,,"Asking price $889,000",Apartment
KGJDFHPTL7ER9B5X2Z5W,Waiuku,3,2,99300,,Price by negotiation,Dwelling
05S5ISM6M7BLJLFPS7RY,West Harbour,4,2,465,,"Auction on 28 May, 10:00?€?am",House
DEEBFOTW8F3FLUAYEA01,City Centre,1,1,,,Price by negotiation,Apartment
FRQCYA7R32KOBQQ49F5B,City Centre,2,1,,,"Asking price $599,000",Apartment
Best Corner - Stunning Seaview - Great Layout,City Centre,2,1,,,"Asking price $389,000",Apartment
Mixed Housing Suburban Zone Opportunity in Karaka,Karaka,4,3,10330,,Price by negotiation,House
DESIGNED TO DELIGHT ?€? CRAFTED FOR COMPLETE COMFORT,Waiuku,4,3,16800,,"Asking price $1,575,000",Dwelling
Vendors Relocating ?€? Must Sell | Disregard All...,Pukekohe,3,2,702,,"Auction on 18 Jun, 9:37?€?am",House
E16DX1BE7A14W0D9J9T4,Pukekohe,3,2,304,,Price by negotiation,House
1OBEP1OX8J9UYW9NFX16,Glen Eden,3,1,1012,,"For sale by tender,  29 May",House
CMCLJP77NFC8BIFF6G6O,City Centre,2,1,,,"Asking price $529,000",Apartment
OIJ82GFKFU5N2T5JGROK,Glenbrook,5,3,75400,,"Asking price $2,995,000",Dwelling
6LZ8FCXSUJHFZMO86A2W,Pukekohe,4,3,20000,,Price by negotiation,Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 21 May, 5:04?€?am",Unit
Your Ideal North Shore Retreat,Northcote,2,1,,,"Asking price $569,000",Townhouse
WHERE FAMILY LIFE FINDS ITS FLOW,Pukekohe,3,3,455,,Deadline sale by 22 May,House
"Smart, Secure & Superbly Located",Remuera,3,2,,,"Asking price $1,395,000",Townhouse
MORTGAGEE SALE,Ellerslie,1,1,,,"Auction on 17 Jun, 9:52?€?am",Apartment
5UTBZNQW1MH07H45IOZK,Onewhero,4,2,8000,,Price by negotiation,Dwelling
L0YE1A4FIHMOSV68RSRX,Matakana,,,14700,,"Asking price $820,000",Section
4LQNDR73KL1RZL00JEPW,Waiuku,4,3,89000,,Price by negotiation,Dwelling
V5W08L5I6YDEGA0V02V3,Pukekohe,5,3,1270,,Price by negotiation,House
Rare Oceanfront Estate,Matakana,4,3,22155,,Price by negotiation,House
HIGH COURT SALE,Birkenhead,2,1,,,"Auction on 11 Jun, 2:00?€?pm",Apartment
Ignore all previous pricing - Sellers demand a...,Hunua,4,2,119100,,Price by negotiation,Dwelling
MORTGAGEE SALE,Pukekawa,2,2,68200,,"Auction on 16 Jun, 9:39?€?am",Dwelling
200m from the Pukekohe Train Station.,Pukekohe,3,2,1517,,"Asking price $1,495,000",House
8BVPR4ZB0Y3IFOMJFKTA,City Centre,2,1,,,"Asking price $379,000",Apartment
RN5WF0WECFI357INC667,City Centre,1,1,,,"Asking price $465,000",Apartment
DHBESXIFPGZKHEVFXKMR,Puni,,,11800,,Price by negotiation,Bare land
45QO0W1DRB51XSNKCRHX,Silverdale,3,2,,,"Asking price $899,000",House
BLVB99VJ8L110T06G2AN,Pukekohe,3,2,400,,Price by negotiation,House
RENOVATED NORTH FACING PICTURESQUE SERENITY,Ramarama,4,2,6200,,"Auction on 15 Jun, 9:40?€?am",Dwelling
LIQUIDATION SALE,Manurewa,2,1,,,"Auction on 11 Jun, 2:00?€?pm",Townhouse
LIQUIDATION SALE,Manurewa,2,1,,,"Auction on 11 Jun, 2:00?€?pm",Townhouse
HIGH COURT SALE,Birkenhead,2,1,,,"Auction on 11 Jun, 2:00?€?pm",Apartment
S2R2LO50YOBB62XRVFSZ,Waiuku,3,2,517,,Price by negotiation,House
MP8IJ5GECUSE7GOE5YZ1,Ponsonby,3,1,334,,Price by negotiation,House
VTJENL316FQKH9814JWD,Whitford,,,19100,,"Asking price $1,865,000",Bare land
543DL2U4RMXHLOFBMD5Z,City Centre,1,1,,,"Asking price $279,000",Apartment
2Q0RV1EGEL4A15DM4S5B,City Centre,2,1,,,"Asking price $369,000",Apartment
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 18 May, 5:07?€?am",House
Destined for Great Living!,Pukekohe,4,3,2041,,Price by negotiation,House
Heart of Remuera: new DGZ home,Remuera,4,3,188,,Price by negotiation,House
4JZ629J2N14BIDOSAOLQ,Pukekohe,3,2,1517,,Price by negotiation,House
4V83MSUYZ3PB3Y01DJJL,Pukekohe,5,3,739,,"Asking price $1,089,000",House
RN55XT21755HCGH3WIG8,Pokeno,4,2,649,,Deadline sale by 13 May,House
GOQ7NJSJB38XBJHU1UP8,Manurewa,6,6,2031,,Deadline sale by 28 May,House
Q1CE4EV0TYU3CX6BZHXF,Onehunga,1,1,,,"Asking price $539,000",Apartment
952ARLL2OYKUB0C0YS2N,Otaua,4,2,170000,,Price by negotiation,Dwelling
Build New - Reynolds Green!,Pukekohe,4,2,716,,Price by negotiation,House
Time to start your dream home,Pokeno,2,3,1000,,"Auction on 17 May, 6:41?€?am",Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 17 May, 6:41?€?am",House
HIGH COURT SALE,New Lynn,3,1,,,"Auction on 13 Jun, 6:34?€?pm",Unit
$650/pw RENT GURANTEED for 3yrs,City Centre,2,1,,,"Asking price $519,000",Apartment
J8N96ECB837F9QF0M662,Waiau Pa,3,2,56100,,Price by negotiation,Dwelling
0O2OKODBSRE1UJD89EAM,City Centre,1,1,,,"Asking price $349,000",Apartment
02269OEKT143QI93ISM6,Paerata,,,25800,,Price by negotiation,Bare land
DD13Q3IP3TH9OMSYMYAJ,City Centre,2,1,,,Price by negotiation,Apartment
NNVHS981CGVYX4Q13W5U,City Centre,2,1,,,"Asking price $679,000",Apartment
Modern Living in Auckland Central,City Centre,3,2,,,"Asking price $650,000",Apartment
"Big, Bold & Beautiful in The Valley",Pukekohe,4,2,568,,"Auction on 13 Jun, 9:40?€?am",House
MORTGAGEE SALE,Henderson,2,1,,,"Auction on 11 Jun, 2:00?€?pm",House
V7AIFSMQYNIVH6K46ABC,Remuera,3,3,,,"Asking price $1,590,000",Townhouse
2WS7J9IKCK3WZWIR3IQI,Albany,3,2,,,"Asking price $750,000",Townhouse
ULM7V51269A5BZX9P4VH,Massey,4,1,3033,,"For sale by tender,  5 Jun",House
4JACLYB5NT8MBJBYFUPR,Waiuku,,,5656,,Price by negotiation,Section
CZHGMNBV0C12YL9BFL9W,Drury,6,3,10000,,Price by negotiation,Dwelling
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 16 May, 6:45?€?pm",Unit
"PRICE DROP! - SELLING $545,000 BELOW CV!",Bombay,5,2,213500,,"Asking price $1,390,000",Dwelling
EXQUISITE HIGH END ELEGANCE + POOL & SPA,Karaka,6,3,597,,Price by negotiation,House
"Location, Convenience and Rangi Zone!",Pinehill,4,3,420,,"Auction on 12 Jun, 6:31?€?pm",House
DV3WICQYQRISK5YUK563,Huapai,6,3,838637,,Price by negotiation,House
EUJMLNC6IIQALRON67J1,Remuera,5,4,522,,"Asking price $2,980,000",House
A6Q9JM3JZ8JP57SPQ9YX,City Centre,2,1,,,"Asking price $419,000",Apartment
EL3MC6HJV5HGCRMT791U,Takapuna,2,2,,,"Asking price $1,149,000",Apartment
2VT8VN60UAQEMSM0MBY8,Clarks Beach,3,2,,,"Asking price $590,000",House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 16 May, 5:22?€?am",House
0GYAW68FFXZZJ0T9ZVR9,Pokeno,4,2,570,,Price by negotiation,House
Hassle Free Living - Available NOW !,Pukekohe,2,1,,,"Asking price $580,000",Unit
Bank Friendly 2 bed-Space & Convenience,City Centre,2,1,,,"Asking price $529,000",Apartment
MORTGAGEE SALE,Ellerslie,1,1,,,"Auction on 12 Jun, 5:13?€?am",Apartment
1J3Q6AX2S7G2DSOL6TG4,Panmure,6,6,,,Price by negotiation,House
3U6CZT9ZY45CJYCTQLT4,Pukekohe,4,2,716,,Price by negotiation,House
EDFZH0DTYPT1ELI6XPFG,Pukekohe,4,3,2041,,Price by negotiation,House
ZG9IHIVWP79M3UEVUBGF,Parnell,5,3,579,,Price by negotiation,House
BB2UPZ7F5UMPSMYFX4OX,City Centre,1,1,,,"Asking price $899,000",Apartment
"SUPER SHARP SALE PRICE - SELLING $105,000 UNDER CV",Pukekohe,3,2,,,"Asking price $795,000",House
Urgent Sale! 2 bed 2 bath by Auckland Uni,City Centre,2,2,,,Price by negotiation,Apartment
URGENT SALE ?€? NORTH-FACING END TOWNHOUSE!,Manurewa,2,1,83,,"Asking price $579,000",Townhouse
"Smart, Spacious, Secure",Saint Johns,4,2,744,,"Auction on 11 Jun, 9:45?€?am",House
IMGLURDWQSKTLN3DM239,City Centre,2,1,,,"Asking price $419,000",Apartment
Z0BBY6R3FMPVOLQRQ0NA,Kaiaua,3,1,1012,,Price by negotiation,House
J3NVIS1A5B8NL8S5XV39,Mangere East,3,1,685,,"Auction on 14 May, 2:00?€?pm",House
GDEG3KXHIUOKRJ6FFHUD,Pukekohe,3,1,,,"Asking price $785,000",Townhouse
GIX0GIX1579728QXOQ65,Mauku,,,5100,,"Asking price $665,000",Bare land
Developers Dream,Pukekohe,3,1,761,,Price by negotiation,House
BUYERS PRICE GUIDE - low $1m plus range,Mangatawhiri,4,2,24000,,Price by negotiation,Dwelling
First Time on the Market in 35 Years,Mount Albert,3,1,,,"Auction on 10 Jun, 9:46?€?am",House
90R9H73GIXI5GJYPKWGU,Epsom,1,1,,,"Asking price $589,000",Apartment
Z00C9TEE6GK4RML9UPHW,Flat Bush,6,4,376,,Price by negotiation,House
PFF2PFYQ3BAFS9H39J2Q,Karaka,6,3,597,,Price by negotiation,House
ZJ0IAOF7ET2ED5NOD4ES,Orakei,3,3,,,Price by negotiation,Townhouse
Z43B6GYXC16PN5V08JMV,Bombay,,,150700,,Price by negotiation,Bare land
MODERN 3 BEDROOM HOME + HORTICULTURE OPPORTUNITY,Glenbrook,3,2,8500,,Price by negotiation,Dwelling
SELLERS ARE OUT ?€? RENOVATED COUNTRY RETREAT,Ramarama,4,2,42400,,Price by negotiation,Dwelling
Your Dream Home Starts Here ?€? Build Beside the...,Bombay,,,30400,,"Auction on 9 Jun, 9:42?€?am",Bare land
RRNK6RKD6CNBKWXJENMG,City Centre,2,1,,,"Asking price $419,000",Apartment
HOV7VQPO19ZBIZ1M3ZF5,Pukekohe,4,2,602,,Deadline sale by 14 May,House
T457766AYAAA10K9OE25,Pokeno,4,2,675,,"Asking price $899,000",House
ZH46JW8J23XJO4RX6WQV,Massey,3,1,1260,,"Asking price $998,000",House
F1HJAUULNDX4YVU8O8FA,Silverdale,3,3,,,"Asking price $939,000",House
LMC2DXQ5TY0FT7IP6OXW,Pukekohe,4,2,501,,"Asking price $995,000",House
Multi-Generational Living,Pukekohe,5,3,675,,Price by negotiation,House
Heart of Remuera: new DGZ home,Remuera,4,3,188,,Price by negotiation,House
Family Comfort Meets Stylish Entertaining,Pukekohe,4,2,641,,"Auction on 8 Jun, 9:41?€?am",House
MSIWQ5OFDXQHUCNUV66F,Glenbrook,3,2,8200,,"Asking price $1,075,000",Dwelling
NY5A41PEK9MJ2FLKI8PF,Glen Eden,4,2,1290,,"For sale by tender,  1 May",House
051DU6S4VF8MV4ED9DWZ,Pukekohe,4,3,2041,,Price by negotiation,House
IC0N3YKOLV7A8NPD2GV3,Onehunga,3,2,,,Price by negotiation,House
L801DT0O5XYP1FF48NQ2,Kaiaua,2,1,1282,,"Asking price $899,950",House
BUYERS PRICE GUIDE - mid $2m plus range,Drury,6,2,10400,,Price by negotiation,Dwelling
Family Comfort Meets Stylish Entertaining,Pukekohe,4,2,641,,"Auction on 7 Jun, 9:39?€?am",House
"Live, Invest or Develop - Choice is yours.",Mount Albert,4,1,612,,Deadline sale by 29 May,House
MORTGAGEE SALE,Massey,4,1,3033,,"For sale by tender,  5 Jun",House
MORTGAGEE SALE,Massey,4,1,4871,,"For sale by tender,  5 Jun",House
"Location, Convenience and Rangi Zone!",Pinehill,4,3,420,,"Auction on 29 May, 10:00?€?am",House
9FO8955FKBTO1Z28ELSF,Pokeno,4,3,984,,Deadline sale by 28 May,House
3VYFWLYM4BMMXV43K6WZ,Karaka,,,7100,,Price by negotiation,Bare land
SOISV8KXAXTU18JBNNH1,Onewhero,4,1,43600,,"Asking price $850,000",Dwelling
DTXXB404VCM84XBIQXZQ,Pukekohe,4,2,586,,Price by negotiation,House
YF8259RLOL9XL5T1AZF1,Parnell,5,3,579,,Price by negotiation,House
Time to fulfill your dreams,Pokeno,,,1000,,"Auction on 10 May, 7:39?€?am",Section
Bare Block in Picturesque Patumahoe,Patumahoe,,,8500,,"Asking price $895,000",Bare land
BRING THE BUILDER!! - 5656m2,Waiuku,,,5656,,Price by negotiation,Section
RENOVATED AND READY,Waiuku,4,1,616,,Price by negotiation,House
Remastered Retro Classic with Views,Hillcrest,4,2,,,"Auction on 6 Jun, 7:30?€?am",House
9SI8Y85LC2DEZYBUN4SL,Takapuna,3,2,,,Price by negotiation,Townhouse
REB1P4QGWN6D42VJIFEN,Huapai,6,3,838637,,Price by negotiation,House
G1YKRZ7YYOITAKQNPDA9,Remuera,4,2,,,Deadline sale by 22 May,House
UKL9W9IKQD8191D7XO3O,Royal Oak,5,3,476,,"Asking price $2,890,000",House
QLY2X33IQXEPZIUBG7IS,Drury,4,2,8200,,"Asking price $1,798,000",Dwelling
Motivated Vendor - Don't Miss out!,Kohimarama,3,3,174,,Price by negotiation,Townhouse
Holidays Sorted!,Awhitu,3,2,1012,,"Asking price $795,000",House
PRICED $131K BELOW CV,Clarks Beach,3,2,680,,"Asking price $849,000",House
MORTGAGEE SALE,Pukekawa,2,2,68200,,"Auction on 6 Jun, 9:47?€?am",Dwelling
"Charm, Character & Room to Make It Your Own",Western Springs,3,2,,,Deadline sale by 29 May,House
Grounded in Belgravia,Remuera,3,2,,,"For sale by tender,  29 May",Apartment
57K0OEOKQ0BRLI0QO90W,Waiau Pa,3,2,56100,,Price by negotiation,Dwelling
TU09DEZM3W5QE2PM1RR2,Bombay,5,2,6900,,Price by negotiation,Dwelling
2KK8KGLAYZW5D1ML6A5D,Greenlane,3,3,,,Price by negotiation,Townhouse
GEDYNA9V2NGGQFCZA6LZ,Pukekohe,4,2,635,,Price by negotiation,House
ZWKD7NQHMMT4EYM4YBKM,Pukekohe,3,2,1517,,Price by negotiation,House
